DCCA training logs
================================================================================
Command: run/main_dcca_normal.py --dset=1Dr-4B-4D_aa_182_182 --lr=0.0005 --n_epochs=100 --bsz_tri=8 --bsz_val=8 --h=6 --n_log=1 --tag=h=6 --ct_ckpt_name=0-h=6 --regularize
================================================================================
Namespace(dset='1Dr-4B-4D_aa_182_182', regularize=True, GL=False, h=6, lr=0.0005, lr_step=1000, n_epochs=100, bsz_tri=8, bsz_val=8, tv_ratio=0.2, ckpt_name=None, ct_ckpt_name='0-h=6', sp_ckpt_name=None, n_log=1, tag='h=6')
================================================================================
================================================================================
-- Current Device: NVIDIA RTX A4000
-- Device Total Memory: 15.99 GB
-- Let's use 1 GPUs!
================================================================================

================================================================================
Experiment Configuration
>> Dataset: 1Dr-4B-4D_aa_182_182
>> Learning rate: 0.0005
>> Learning rate scheduler step: 1000
>> Max epochs: 100
>> Batch size (tri): 8
>> Batch size (val): 8
>> Train-Val Ratio: 0.2
>> Pretrained checkpoint: None
>> File identifier: h=6
================================================================================

================================================================================
Datast Loading
================================================================================
>> No Spectra encoder checkpoints loaded.
>> CT scan encoder checkpoint 0-h=6 loaded successfully!
>> No DCCA checkpoints loaded.
Epoch 0   | Train Loss: -2.32686 | Corr: 2.32686
Epoch 0   | Eval Loss: -2.37118 | Corr: 2.37118
Epoch 1   | Train Loss: -3.55166 | Corr: 3.55166
Epoch 1   | Eval Loss: -3.77258 | Corr: 3.77258
Epoch 2   | Train Loss: -3.83953 | Corr: 3.83953
Epoch 2   | Eval Loss: -4.37323 | Corr: 4.37323
Epoch 3   | Train Loss: -4.16229 | Corr: 4.16229
Epoch 3   | Eval Loss: -3.85679 | Corr: 3.85679
Epoch 4   | Train Loss: -3.67916 | Corr: 3.67916
Epoch 4   | Eval Loss: -3.90050 | Corr: 3.90050
Epoch 5   | Train Loss: -3.82073 | Corr: 3.82073
Epoch 5   | Eval Loss: -4.18592 | Corr: 4.18592
Epoch 6   | Train Loss: -4.25048 | Corr: 4.25048
Epoch 6   | Eval Loss: -4.21833 | Corr: 4.21833
Epoch 7   | Train Loss: -3.64814 | Corr: 3.64814
Epoch 7   | Eval Loss: -3.85636 | Corr: 3.85636
Epoch 8   | Train Loss: -3.97867 | Corr: 3.97867
Epoch 8   | Eval Loss: -4.51979 | Corr: 4.51979
Epoch 9   | Train Loss: -4.36294 | Corr: 4.36294
Epoch 9   | Eval Loss: -4.48300 | Corr: 4.48300
Epoch 10  | Train Loss: -4.16844 | Corr: 4.16844
Epoch 10  | Eval Loss: -4.41290 | Corr: 4.41290
Epoch 11  | Train Loss: -4.13000 | Corr: 4.13000
Epoch 11  | Eval Loss: -4.50748 | Corr: 4.50748
Epoch 12  | Train Loss: -4.28124 | Corr: 4.28124
Epoch 12  | Eval Loss: -4.10197 | Corr: 4.10197
Epoch 13  | Train Loss: -4.29005 | Corr: 4.29005
Epoch 13  | Eval Loss: -4.69586 | Corr: 4.69586
Epoch 14  | Train Loss: -4.27696 | Corr: 4.27696
Epoch 14  | Eval Loss: -4.27148 | Corr: 4.27148
Epoch 15  | Train Loss: -4.36135 | Corr: 4.36135
Epoch 15  | Eval Loss: -4.58999 | Corr: 4.58999
Epoch 16  | Train Loss: -4.15143 | Corr: 4.15143
Epoch 16  | Eval Loss: -4.32618 | Corr: 4.32618
Epoch 17  | Train Loss: -4.29130 | Corr: 4.29130
Epoch 17  | Eval Loss: -4.37719 | Corr: 4.37719
Epoch 18  | Train Loss: -4.20491 | Corr: 4.20491
Epoch 18  | Eval Loss: -4.08740 | Corr: 4.08740
Epoch 19  | Train Loss: -4.28407 | Corr: 4.28407
Epoch 19  | Eval Loss: -4.77380 | Corr: 4.77380
Epoch 20  | Train Loss: -4.50819 | Corr: 4.50819
Epoch 20  | Eval Loss: -4.35479 | Corr: 4.35479
Epoch 21  | Train Loss: -4.40915 | Corr: 4.40915
Epoch 21  | Eval Loss: -3.73067 | Corr: 3.73067
