DCCA training logs
================================================================================
Command: run/main_dcca.py --dset=1Dr, 4D --lr=0.00005 --n_epochs=100 --bsz_tri=8 --bsz_val=8 --h=6 --normalize --n_log=1 --tag=1_h=6 --ct_ckpt_name=1Dr-4D_1-h=6
================================================================================
Namespace(dset=['1Dr', '4D'], normalize=True, GL=False, h=6, lr=5e-05, lr_step=1000, n_epochs=100, bsz_tri=8, bsz_val=8, tv_ratio=0.2, ckpt_name=None, ct_ckpt_name='1Dr-4D_1-h=6', sp_ckpt_name=None, n_log=1, tag='1_h=6')
================================================================================
================================================================================
-- Current Device: NVIDIA RTX A4000
-- Device Total Memory: 15.99 GB
-- Let's use 1 GPUs!
================================================================================

================================================================================
Experiment Configuration
>> Dataset: ['1Dr', '4D']
>> Learning rate: 5e-05
>> Learning rate scheduler step: 1000
>> Max epochs: 100
>> Batch size (tri): 8
>> Batch size (val): 8
>> Train-Val Ratio: 0.2
>> Pretrained checkpoint: None
>> File identifier: 1_h=6
================================================================================

================================================================================
Datast Loading
------------------------------------------------------------
Reading data...
>> Reading part 1Dr...
---- Spectra Shape: (2038, 7376)
>> Reading part 4D...
---- Spectra Shape: (2038, 6859)
------------------------------------------------------------
------------------------------------------------------------
Processing data
>> Locating active signals for part 1Dr.
---- The length of active signals is: 942
---- S: [ 272. 3252. 6221.]
---- E: [1225. 4194. 7175.]
---- Processed signal shape: (2038, 942, 3)
>> Locating active signals for part 4D.
---- The length of active signals is: 682
---- S: [ 223. 2932. 5642.]
---- E: [ 905. 3614. 6324.]
---- Processed signal shape: (2038, 682, 3)
------------------------------------------------------------
------------------------------------------------------------
Gathering data from different parts
>> Gathering part 1Dr...
---- Spectra Shape: torch.Size([942, 32, 3])
>> Gathering part 4D...
---- Spectra Shape: torch.Size([682, 32, 3])
>> Finished gathering data from parts ['1Dr', '4D'].
---- 1624 spectra windows of size 5 in total.
---- Data shape: (1624, 32, 3)
Reading part 1Dr...
Number of samples: 4046
Reading part 4D...
Number of samples: 3901
Finished gathering data from parts ['1Dr', '4D'].
7947 CT scan images in total.
>> No Spectra encoder checkpoints loaded.
>> CT scan encoder checkpoint 1Dr-4D_1-h=6 loaded successfully!
>> No DCCA checkpoints loaded.
Epoch 0   | Train Loss: -0.66738 | Corr: 0.66738
Epoch 0   | Eval Loss: -0.95342 | Corr: 0.95342
Epoch 1   | Train Loss: -1.00821 | Corr: 1.00821
Epoch 1   | Eval Loss: -1.11051 | Corr: 1.11051
Epoch 2   | Train Loss: -1.29063 | Corr: 1.29063
Epoch 2   | Eval Loss: -1.38996 | Corr: 1.38996
Epoch 3   | Train Loss: -1.64219 | Corr: 1.64219
Epoch 3   | Eval Loss: -1.91110 | Corr: 1.91110
Epoch 4   | Train Loss: -2.09381 | Corr: 2.09381
Epoch 4   | Eval Loss: -2.11111 | Corr: 2.11111
Epoch 5   | Train Loss: -2.34669 | Corr: 2.34669
Epoch 5   | Eval Loss: -2.53204 | Corr: 2.53204
Epoch 6   | Train Loss: -2.60937 | Corr: 2.60937
Epoch 6   | Eval Loss: -2.77456 | Corr: 2.77456
Epoch 7   | Train Loss: -2.80087 | Corr: 2.80087
Epoch 7   | Eval Loss: -3.08721 | Corr: 3.08721
Epoch 8   | Train Loss: -2.96142 | Corr: 2.96142
Epoch 8   | Eval Loss: -3.29997 | Corr: 3.29997
Epoch 9   | Train Loss: -3.21925 | Corr: 3.21925
Epoch 9   | Eval Loss: -3.34909 | Corr: 3.34909
Epoch 10  | Train Loss: -3.39489 | Corr: 3.39489
Epoch 10  | Eval Loss: -3.53810 | Corr: 3.53810
Epoch 11  | Train Loss: -3.39279 | Corr: 3.39279
Epoch 11  | Eval Loss: -3.67407 | Corr: 3.67407
Epoch 12  | Train Loss: -3.46565 | Corr: 3.46565
Epoch 12  | Eval Loss: -3.52087 | Corr: 3.52087
Epoch 13  | Train Loss: -3.54165 | Corr: 3.54165
Epoch 13  | Eval Loss: -3.77311 | Corr: 3.77311
Epoch 14  | Train Loss: -3.61239 | Corr: 3.61239
Epoch 14  | Eval Loss: -3.74778 | Corr: 3.74778
Epoch 15  | Train Loss: -3.55989 | Corr: 3.55989
Epoch 15  | Eval Loss: -3.44237 | Corr: 3.44237
Epoch 16  | Train Loss: -3.81211 | Corr: 3.81211
Epoch 16  | Eval Loss: -3.39210 | Corr: 3.39210
Epoch 17  | Train Loss: -3.65657 | Corr: 3.65657
Epoch 17  | Eval Loss: -3.78032 | Corr: 3.78032
Epoch 18  | Train Loss: -3.87005 | Corr: 3.87005
