DCCA training logs
================================================================================
Command: run/main_dcca.py --dset=1Dr --lr=0.00005 --n_epochs=100 --bsz_tri=8 --bsz_val=8 --h=6 --normalize --n_log=1 --tag=0_h=6 --ct_ckpt_name=0-h=6
================================================================================
Namespace(dset=['1Dr'], normalize=True, GL=False, h=6, lr=5e-05, lr_step=1000, n_epochs=100, bsz_tri=8, bsz_val=8, tv_ratio=0.2, ckpt_name=None, ct_ckpt_name='0-h=6', sp_ckpt_name=None, n_log=1, tag='0_h=6')
================================================================================
================================================================================
-- Current Device: NVIDIA RTX A4000
-- Device Total Memory: 15.99 GB
-- Let's use 1 GPUs!
================================================================================

================================================================================
Experiment Configuration
>> Dataset: ['1Dr']
>> Learning rate: 5e-05
>> Learning rate scheduler step: 1000
>> Max epochs: 100
>> Batch size (tri): 8
>> Batch size (val): 8
>> Train-Val Ratio: 0.2
>> Pretrained checkpoint: None
>> File identifier: 0_h=6
================================================================================

================================================================================
Datast Loading
------------------------------------------------------------
Reading data...
>> Reading part 1Dr...
---- Spectra Shape: (2038, 7376)
------------------------------------------------------------
------------------------------------------------------------
Processing data
>> Locating active signals for part 1Dr.
---- The length of active signals is: 942
---- S: [ 272. 3252. 6221.]
---- E: [1225. 4194. 7175.]
---- Processed signal shape: (2038, 942, 3)
------------------------------------------------------------
------------------------------------------------------------
Gathering data from different parts
>> Gathering part 1Dr...
---- Spectra Shape: torch.Size([942, 32, 3])
>> Finished gathering data from parts ['1Dr'].
---- 942 spectra windows of size 5 in total.
---- Data shape: (942, 32, 3)
Reading part 1Dr...
Number of samples: 4046
Finished gathering data from parts ['1Dr'].
4046 CT scan images in total.
>> No Spectra encoder checkpoints loaded.
>> CT scan encoder checkpoint 0-h=6 loaded successfully!
>> No DCCA checkpoints loaded.
Epoch 0   | Train Loss: -0.37923 | Corr: 0.37923
Epoch 0   | Eval Loss: -0.49491 | Corr: 0.49491
Epoch 1   | Train Loss: -0.65167 | Corr: 0.65167
Epoch 1   | Eval Loss: -0.65561 | Corr: 0.65561
Epoch 2   | Train Loss: -0.72743 | Corr: 0.72743
Epoch 2   | Eval Loss: -0.75773 | Corr: 0.75773
Epoch 3   | Train Loss: -0.75831 | Corr: 0.75831
Epoch 3   | Eval Loss: -0.82147 | Corr: 0.82147
Epoch 4   | Train Loss: -0.80389 | Corr: 0.80389
Epoch 4   | Eval Loss: -1.01419 | Corr: 1.01419
Epoch 5   | Train Loss: -0.99757 | Corr: 0.99757
Epoch 5   | Eval Loss: -1.04324 | Corr: 1.04324
Epoch 6   | Train Loss: -1.23094 | Corr: 1.23094
Epoch 6   | Eval Loss: -1.29710 | Corr: 1.29710
Epoch 7   | Train Loss: -1.29998 | Corr: 1.29998
Epoch 7   | Eval Loss: -1.21336 | Corr: 1.21336
Epoch 8   | Train Loss: -1.44704 | Corr: 1.44704
Epoch 8   | Eval Loss: -1.30964 | Corr: 1.30964
Epoch 9   | Train Loss: -1.61479 | Corr: 1.61479
Epoch 9   | Eval Loss: -1.62631 | Corr: 1.62631
Epoch 10  | Train Loss: -1.62342 | Corr: 1.62342
Epoch 10  | Eval Loss: -1.76646 | Corr: 1.76646
Epoch 11  | Train Loss: -1.86880 | Corr: 1.86880
Epoch 11  | Eval Loss: -1.71793 | Corr: 1.71793
Epoch 12  | Train Loss: -2.11433 | Corr: 2.11433
Epoch 12  | Eval Loss: -1.91327 | Corr: 1.91327
Epoch 13  | Train Loss: -1.97224 | Corr: 1.97224
Epoch 13  | Eval Loss: -2.36935 | Corr: 2.36935
Epoch 14  | Train Loss: -2.12851 | Corr: 2.12851
Epoch 14  | Eval Loss: -2.08874 | Corr: 2.08874
