DCCA training logs
================================================================================
Command: run/main_dcca.py --dset=1Dr --lr=0.00005 --n_epochs=500 --bsz_tri=8 --bsz_val=8 --h=6 --normalize --n_log=1 --tag=h=6 --ct_ckpt_name=1Dr_1-h=6
================================================================================
Namespace(dset=['1Dr'], normalize=True, GL=False, h=6, lr=5e-05, lr_step=1000, n_epochs=500, bsz_tri=8, bsz_val=8, tv_ratio=0.2, ckpt_name=None, ct_ckpt_name='1Dr_1-h=6', sp_ckpt_name=None, n_log=1, tag='h=6')
================================================================================
================================================================================
-- Current Device: NVIDIA RTX A4000
-- Device Total Memory: 15.99 GB
-- Let's use 1 GPUs!
================================================================================

================================================================================
Experiment Configuration
>> Dataset: ['1Dr']
>> Learning rate: 5e-05
>> Learning rate scheduler step: 1000
>> Max epochs: 500
>> Batch size (tri): 8
>> Batch size (val): 8
>> Train-Val Ratio: 0.2
>> Pretrained checkpoint: None
>> File identifier: h=6
================================================================================

================================================================================
Datast Loading
------------------------------------------------------------
Reading data...
>> Reading part 1Dr...
---- Spectra Shape: (2038, 7376)
------------------------------------------------------------
------------------------------------------------------------
Processing data
>> Locating active signals for part 1Dr.
---- The length of active signals is: 942
---- S: [ 272. 3252. 6221.]
---- E: [1225. 4194. 7175.]
---- Processed signal shape: (2038, 942, 3)
------------------------------------------------------------
------------------------------------------------------------
Gathering data from different parts
>> Gathering part 1Dr...
---- Spectra Shape: torch.Size([942, 32, 3])
>> Finished gathering data from parts ['1Dr'].
---- 942 spectra windows of size 5 in total.
---- Data shape: (942, 32, 3)
Reading part 1Dr...
Number of samples: 4046
Finished gathering data from parts ['1Dr'].
4046 CT scan images in total.
>> No Spectra encoder checkpoints loaded.
>> CT scan encoder checkpoint 1Dr_1-h=6 loaded successfully!
>> No DCCA checkpoints loaded.
Epoch 0   | Train Loss: -0.40821 | Corr: 0.40821
Epoch 0   | Eval Loss: -0.66580 | Corr: 0.66580
Epoch 1   | Train Loss: -0.73811 | Corr: 0.73811
Epoch 1   | Eval Loss: -0.78185 | Corr: 0.78185
Epoch 2   | Train Loss: -0.86357 | Corr: 0.86357
Epoch 2   | Eval Loss: -0.98197 | Corr: 0.98197
Epoch 3   | Train Loss: -0.93350 | Corr: 0.93350
Epoch 3   | Eval Loss: -1.12286 | Corr: 1.12286
Epoch 4   | Train Loss: -1.09891 | Corr: 1.09891
Epoch 4   | Eval Loss: -1.14552 | Corr: 1.14552
Epoch 5   | Train Loss: -1.24816 | Corr: 1.24816
Epoch 5   | Eval Loss: -1.32798 | Corr: 1.32798
Epoch 6   | Train Loss: -1.33240 | Corr: 1.33240
Epoch 6   | Eval Loss: -1.37018 | Corr: 1.37018
Epoch 7   | Train Loss: -1.59769 | Corr: 1.59769
Epoch 7   | Eval Loss: -1.74452 | Corr: 1.74452
Epoch 8   | Train Loss: -1.73349 | Corr: 1.73349
Epoch 8   | Eval Loss: -1.83433 | Corr: 1.83433
Epoch 9   | Train Loss: -2.04597 | Corr: 2.04597
Epoch 9   | Eval Loss: -2.34567 | Corr: 2.34567
Epoch 10  | Train Loss: -2.23196 | Corr: 2.23196
Epoch 10  | Eval Loss: -2.17097 | Corr: 2.17097
Epoch 11  | Train Loss: -2.37856 | Corr: 2.37856
Epoch 11  | Eval Loss: -2.62054 | Corr: 2.62054
Epoch 12  | Train Loss: -2.46805 | Corr: 2.46805
Epoch 12  | Eval Loss: -2.55774 | Corr: 2.55774
Epoch 13  | Train Loss: -2.60233 | Corr: 2.60233
Epoch 13  | Eval Loss: -2.72930 | Corr: 2.72930
Epoch 14  | Train Loss: -2.65451 | Corr: 2.65451
Epoch 14  | Eval Loss: -2.80647 | Corr: 2.80647
Epoch 15  | Train Loss: -2.76289 | Corr: 2.76289
Epoch 15  | Eval Loss: -2.86142 | Corr: 2.86142
Epoch 16  | Train Loss: -2.94195 | Corr: 2.94195
Epoch 16  | Eval Loss: -3.11520 | Corr: 3.11520
Epoch 17  | Train Loss: -3.08666 | Corr: 3.08666
Epoch 17  | Eval Loss: -3.09777 | Corr: 3.09777
Epoch 18  | Train Loss: -3.14494 | Corr: 3.14494
Epoch 18  | Eval Loss: -3.22619 | Corr: 3.22619
Epoch 19  | Train Loss: -3.32785 | Corr: 3.32785
Epoch 19  | Eval Loss: -3.45180 | Corr: 3.45180
Epoch 20  | Train Loss: -3.04955 | Corr: 3.04955
Epoch 20  | Eval Loss: -3.78829 | Corr: 3.78829
Epoch 21  | Train Loss: -3.45145 | Corr: 3.45145
Epoch 21  | Eval Loss: -3.20885 | Corr: 3.20885
Epoch 22  | Train Loss: -3.27114 | Corr: 3.27114
Epoch 22  | Eval Loss: -3.57106 | Corr: 3.57106
Epoch 23  | Train Loss: -3.45393 | Corr: 3.45393
Epoch 23  | Eval Loss: -3.41139 | Corr: 3.41139
Epoch 24  | Train Loss: -3.51821 | Corr: 3.51821
Epoch 24  | Eval Loss: -3.55419 | Corr: 3.55419
Epoch 25  | Train Loss: -3.58832 | Corr: 3.58832
Epoch 25  | Eval Loss: -3.61249 | Corr: 3.61249
Epoch 26  | Train Loss: -3.55032 | Corr: 3.55032
Epoch 26  | Eval Loss: -4.05592 | Corr: 4.05592
Epoch 27  | Train Loss: -3.36003 | Corr: 3.36003
Epoch 27  | Eval Loss: -4.01468 | Corr: 4.01468
Epoch 28  | Train Loss: -3.63004 | Corr: 3.63004
Epoch 28  | Eval Loss: -4.19482 | Corr: 4.19482
Epoch 29  | Train Loss: -3.72954 | Corr: 3.72954
Epoch 29  | Eval Loss: -3.85581 | Corr: 3.85581
Epoch 30  | Train Loss: -3.72274 | Corr: 3.72274
Epoch 30  | Eval Loss: -3.73065 | Corr: 3.73065
Epoch 31  | Train Loss: -3.75501 | Corr: 3.75501
Epoch 31  | Eval Loss: -4.04299 | Corr: 4.04299
Epoch 32  | Train Loss: -3.90386 | Corr: 3.90386
Epoch 32  | Eval Loss: -4.06836 | Corr: 4.06836
Epoch 33  | Train Loss: -4.02875 | Corr: 4.02875
Epoch 33  | Eval Loss: -3.38087 | Corr: 3.38087
Epoch 34  | Train Loss: -3.96657 | Corr: 3.96657
Epoch 34  | Eval Loss: -4.42507 | Corr: 4.42507
Epoch 35  | Train Loss: -3.93164 | Corr: 3.93164
