DCCA training logs
================================================================================
Command: run/main_dcca.py --dset=4B --lr=0.00005 --n_epochs=200 --bsz_tri=8 --bsz_val=8 --h=6 --normalize --n_log=1 --tag=2_h=6 --ct_ckpt_name=4B_1-h=6
================================================================================
Namespace(dset=['4B'], normalize=True, GL=False, h=6, lr=5e-05, lr_step=1000, n_epochs=200, bsz_tri=8, bsz_val=8, tv_ratio=0.2, ckpt_name=None, ct_ckpt_name='4B_1-h=6', sp_ckpt_name=None, n_log=1, tag='2_h=6')
================================================================================
================================================================================
-- Current Device: NVIDIA RTX A4000
-- Device Total Memory: 15.99 GB
-- Let's use 1 GPUs!
================================================================================

================================================================================
Experiment Configuration
>> Dataset: ['4B']
>> Learning rate: 5e-05
>> Learning rate scheduler step: 1000
>> Max epochs: 200
>> Batch size (tri): 8
>> Batch size (val): 8
>> Train-Val Ratio: 0.2
>> Pretrained checkpoint: None
>> File identifier: 2_h=6
================================================================================

================================================================================
Datast Loading
------------------------------------------------------------
Reading data...
>> Reading part 4B...
---- Spectra Shape: (2038, 6759)
------------------------------------------------------------
------------------------------------------------------------
Processing data
>> Locating active signals for part 4B.
---- The length of active signals is: 681
---- S: [ 246. 2955. 5664.]
---- E: [ 927. 3637. 6346.]
---- Processed signal shape: (2038, 681, 3)
------------------------------------------------------------
------------------------------------------------------------
Gathering data from different parts
>> Gathering part 4B...
---- Spectra Shape: torch.Size([681, 32, 3])
>> Finished gathering data from parts ['4B'].
---- 681 spectra windows of size 5 in total.
---- Data shape: (681, 32, 3)
Reading part 4B...
Number of samples: 4751
Finished gathering data from parts ['4B'].
4751 CT scan images in total.
>> No Spectra encoder checkpoints loaded.
>> CT scan encoder checkpoint 4B_1-h=6 loaded successfully!
>> No DCCA checkpoints loaded.
Epoch 0   | Train Loss: -0.24051 | Corr: 0.24051
Epoch 0   | Eval Loss: -0.22879 | Corr: 0.22879
Epoch 1   | Train Loss: -0.38528 | Corr: 0.38528
Epoch 1   | Eval Loss: -0.26925 | Corr: 0.26925
Epoch 2   | Train Loss: -0.41490 | Corr: 0.41490
Epoch 2   | Eval Loss: -0.29387 | Corr: 0.29387
Epoch 3   | Train Loss: -0.50528 | Corr: 0.50528
Epoch 3   | Eval Loss: -0.31992 | Corr: 0.31992
Epoch 4   | Train Loss: -0.50767 | Corr: 0.50767
Epoch 4   | Eval Loss: -0.25367 | Corr: 0.25367
Epoch 5   | Train Loss: -0.63122 | Corr: 0.63122
Epoch 5   | Eval Loss: -0.52693 | Corr: 0.52693
Epoch 6   | Train Loss: -0.74081 | Corr: 0.74081
Epoch 6   | Eval Loss: -0.58528 | Corr: 0.58528
Epoch 7   | Train Loss: -0.85539 | Corr: 0.85539
Epoch 7   | Eval Loss: -0.62086 | Corr: 0.62086
Epoch 8   | Train Loss: -0.90979 | Corr: 0.90979
Epoch 8   | Eval Loss: -0.71326 | Corr: 0.71326
Epoch 9   | Train Loss: -1.05915 | Corr: 1.05915
Epoch 9   | Eval Loss: -0.58871 | Corr: 0.58871
Epoch 10  | Train Loss: -1.25769 | Corr: 1.25769
Epoch 10  | Eval Loss: -0.83520 | Corr: 0.83520
Epoch 11  | Train Loss: -1.03294 | Corr: 1.03294
Epoch 11  | Eval Loss: -0.94018 | Corr: 0.94018
Epoch 12  | Train Loss: -1.32162 | Corr: 1.32162
Epoch 12  | Eval Loss: -1.05365 | Corr: 1.05365
Epoch 13  | Train Loss: -1.42435 | Corr: 1.42435
Epoch 13  | Eval Loss: -1.12549 | Corr: 1.12549
Epoch 14  | Train Loss: -1.52626 | Corr: 1.52626
Epoch 14  | Eval Loss: -1.18856 | Corr: 1.18856
Epoch 15  | Train Loss: -1.61346 | Corr: 1.61346
Epoch 15  | Eval Loss: -1.53853 | Corr: 1.53853
Epoch 16  | Train Loss: -1.73763 | Corr: 1.73763
Epoch 16  | Eval Loss: -1.78873 | Corr: 1.78873
Epoch 17  | Train Loss: -1.63463 | Corr: 1.63463
Epoch 17  | Eval Loss: -1.33232 | Corr: 1.33232
