DCCA training logs
================================================================================
Command: run/main_dcca.py --dset=4B --lr=0.00005 --n_epochs=500 --bsz_tri=8 --bsz_val=8 --h=6 --normalize --n_log=1 --tag=h=6 --ct_ckpt_name=4B_1-h=6
================================================================================
Namespace(dset=['4B'], normalize=True, GL=False, h=6, lr=5e-05, lr_step=1000, n_epochs=500, bsz_tri=8, bsz_val=8, tv_ratio=0.2, ckpt_name=None, ct_ckpt_name='4B_1-h=6', sp_ckpt_name=None, n_log=1, tag='h=6')
================================================================================
================================================================================
-- Current Device: NVIDIA RTX A4000
-- Device Total Memory: 15.99 GB
-- Let's use 1 GPUs!
================================================================================

================================================================================
Experiment Configuration
>> Dataset: ['4B']
>> Learning rate: 5e-05
>> Learning rate scheduler step: 1000
>> Max epochs: 500
>> Batch size (tri): 8
>> Batch size (val): 8
>> Train-Val Ratio: 0.2
>> Pretrained checkpoint: None
>> File identifier: h=6
================================================================================

================================================================================
Datast Loading
------------------------------------------------------------
Reading data...
>> Reading part 4B...
---- Spectra Shape: (2038, 6759)
------------------------------------------------------------
------------------------------------------------------------
Processing data
>> Locating active signals for part 4B.
---- The length of active signals is: 681
---- S: [ 246. 2955. 5664.]
---- E: [ 927. 3637. 6346.]
---- Processed signal shape: (2038, 681, 3)
------------------------------------------------------------
------------------------------------------------------------
Gathering data from different parts
>> Gathering part 4B...
---- Spectra Shape: torch.Size([681, 32, 3])
>> Finished gathering data from parts ['4B'].
---- 681 spectra windows of size 5 in total.
---- Data shape: (681, 32, 3)
Reading part 4B...
Number of samples: 4751
Finished gathering data from parts ['4B'].
4751 CT scan images in total.
>> No Spectra encoder checkpoints loaded.
>> CT scan encoder checkpoint 4B_1-h=6 loaded successfully!
>> No DCCA checkpoints loaded.
Epoch 0   | Train Loss: -0.25040 | Corr: 0.25040
Epoch 0   | Eval Loss: -0.23643 | Corr: 0.23643
Epoch 1   | Train Loss: -0.45596 | Corr: 0.45596
Epoch 1   | Eval Loss: -0.39767 | Corr: 0.39767
Epoch 2   | Train Loss: -0.60064 | Corr: 0.60064
Epoch 2   | Eval Loss: -0.46661 | Corr: 0.46661
Epoch 3   | Train Loss: -0.69628 | Corr: 0.69628
Epoch 3   | Eval Loss: -0.45719 | Corr: 0.45719
Epoch 4   | Train Loss: -0.78080 | Corr: 0.78080
Epoch 4   | Eval Loss: -0.47426 | Corr: 0.47426
Epoch 5   | Train Loss: -0.85582 | Corr: 0.85582
Epoch 5   | Eval Loss: -0.67380 | Corr: 0.67380
Epoch 6   | Train Loss: -0.80877 | Corr: 0.80877
Epoch 6   | Eval Loss: -0.71861 | Corr: 0.71861
Epoch 7   | Train Loss: -0.96278 | Corr: 0.96278
Epoch 7   | Eval Loss: -0.97584 | Corr: 0.97584
Epoch 8   | Train Loss: -0.94166 | Corr: 0.94166
Epoch 8   | Eval Loss: -0.77089 | Corr: 0.77089
Epoch 9   | Train Loss: -0.98299 | Corr: 0.98299
Epoch 9   | Eval Loss: -1.03267 | Corr: 1.03267
Epoch 10  | Train Loss: -1.20295 | Corr: 1.20295
Epoch 10  | Eval Loss: -1.04361 | Corr: 1.04361
Epoch 11  | Train Loss: -1.39985 | Corr: 1.39985
Epoch 11  | Eval Loss: -1.09508 | Corr: 1.09508
Epoch 12  | Train Loss: -1.30941 | Corr: 1.30941
Epoch 12  | Eval Loss: -1.04938 | Corr: 1.04938
Epoch 13  | Train Loss: -1.38945 | Corr: 1.38945
Epoch 13  | Eval Loss: -1.06336 | Corr: 1.06336
Epoch 14  | Train Loss: -1.32329 | Corr: 1.32329
Epoch 14  | Eval Loss: -1.30695 | Corr: 1.30695
