torch.Size([2500, 1, 32, 32]) torch.Size([2500, 1, 16])
Counter({0: 1257, 1: 1243})
Training with regularization.
No Spectra encoder checkpoints loaded.
No CT scan encoder checkpoints loaded.
Epoch 99  | Train Loss: -0.95797 | Corr: 0.95797
Epoch 99  | Eval Loss: -0.93378 | Corr: 0.93378
Epoch 199 | Train Loss: -0.99010 | Corr: 0.99010
Epoch 199 | Eval Loss: -0.93576 | Corr: 0.93576
Epoch 299 | Train Loss: -0.99302 | Corr: 0.99302
Epoch 299 | Eval Loss: -0.93511 | Corr: 0.93511
Epoch 399 | Train Loss: -0.99472 | Corr: 0.99472
Epoch 399 | Eval Loss: -0.93171 | Corr: 0.93171
Epoch 499 | Train Loss: -0.99237 | Corr: 0.99237
Epoch 499 | Eval Loss: -0.92148 | Corr: 0.92148
Epoch 599 | Train Loss: -0.99794 | Corr: 0.99794
Epoch 599 | Eval Loss: -0.92351 | Corr: 0.92351
Epoch 699 | Train Loss: -0.99938 | Corr: 0.99938
Epoch 699 | Eval Loss: -0.92185 | Corr: 0.92185
Epoch 799 | Train Loss: -0.99794 | Corr: 0.99794
Epoch 799 | Eval Loss: -0.90776 | Corr: 0.90776
Epoch 899 | Train Loss: -0.99730 | Corr: 0.99730
Epoch 899 | Eval Loss: -0.90781 | Corr: 0.90781
Epoch 999 | Train Loss: -0.99988 | Corr: 0.99988
Epoch 999 | Eval Loss: -0.90082 | Corr: 0.90082
Epoch 1099 | Train Loss: -0.99923 | Corr: 0.99923
Epoch 1099 | Eval Loss: -0.90299 | Corr: 0.90299
Epoch 1199 | Train Loss: -0.99738 | Corr: 0.99738
Epoch 1199 | Eval Loss: -0.90466 | Corr: 0.90466
Epoch 1299 | Train Loss: -0.99949 | Corr: 0.99949
Epoch 1299 | Eval Loss: -0.88867 | Corr: 0.88867
Epoch 1399 | Train Loss: -0.99765 | Corr: 0.99765
Epoch 1399 | Eval Loss: -0.90066 | Corr: 0.90066
Epoch 1499 | Train Loss: -0.99996 | Corr: 0.99996
Epoch 1499 | Eval Loss: -0.88975 | Corr: 0.88975
Epoch 1599 | Train Loss: -1.00014 | Corr: 1.00014
Epoch 1599 | Eval Loss: -0.88314 | Corr: 0.88314
Epoch 1699 | Train Loss: -0.99866 | Corr: 0.99866
Epoch 1699 | Eval Loss: -0.89245 | Corr: 0.89245
Epoch 1799 | Train Loss: -0.99751 | Corr: 0.99751
Epoch 1799 | Eval Loss: -0.88646 | Corr: 0.88646
Epoch 1899 | Train Loss: -0.99903 | Corr: 0.99903
Epoch 1899 | Eval Loss: -0.87609 | Corr: 0.87609
Epoch 1999 | Train Loss: -1.00042 | Corr: 1.00042
Epoch 1999 | Eval Loss: -0.86720 | Corr: 0.86720
